title,Bag_of_words
Bared to You, romance adultfiction sylviaday 1 new york time bestselling author sylvia day come provocative masterstroke abandon obsession redefined meaning desire became global phenomenon ... gideon cross came life like lightning darkness beautiful brilliant jagged white hot drawn never anything anyone cr
Persuasion, classics fiction janeausten deidreshaunalynch (introduction) jameskinsley (editor) twenty seven year old anne elliot austen adult heroine eight year story proper begin happily betrothed naval officer frederick wentworth precipitously break engagement persuaded friend lady russell match unworthy breakup produce deep long lasting regret later wentwo
2001: A Space Odyssey, sciencefiction fiction arthurc.clarke moon enigma uncovered great implication discovery first time men sent deep solar system long destination reached thing begin go horribly inexplicably wrong ... one greatest selling science fiction novel classic book grip end
A Great and Terrible Beauty, fantasy youngadult libbabray debut gothic novel mysterious vision dark family secret long lost diary thrust gemma classmate back horror followed india age 12 +) 1895 suicide mother 16 year old doyle shipped life know spence proper boarding school england lonely guilt ridden
Chocolat, fiction romance joanneharris timeless novel straitlaced village awakening joy sensuality every page offer description chocolate melt mouth chocoholics francophile armchair gourmet cookbook reader lover passion everywhere illuminating peter mayle south france touch laura esquivel magic realism chocolat strai
Queen of Shadows, fantasy youngadult sarahj.maas everyone celaena sardothien love taken ’ last returned empire — vengeance rescue glorious kingdom confront shadow past … embraced identity aelin galathynius queen terrasen reclaim throne must fight cousin warrior prepared die f
Unwind," youngadult sciencefiction nealshusterman connor risa lev running life second civil war fought reproductive right chilling resolution life inviolable moment conception age thirteen age eighteen however parent child unwound ,"" whereby organ transplanted different donor"
Johnny Got His Gun, fiction classics daltontrumbo ordinary war make world safe democracy made nothing else mattered million dead body thousand ruined life ... novel never take easy way shocking violent terrifying horrible uncompromising brutal remorseless
Trainspotting, fiction contemporary irvinewelsh bestselling novel irvine welsh provided inspiration danny boyle ’ hit film choose u life mortgage payment washing machine car sitting oan couch watching mind numbing spirit crushing game show stuffing fuckin junk food intae yir mooth rotting away pishing shiteing yersel home total
The Summoning, youngadult fantasy kelleyarmstrong chloe saunders used relatively normal life find middle really strange situation :~ suddenly start seeing dead people .~ get locked group home unstable teen seems name never wanted make friend meet bo
Halfway to the Grave, fantasy paranormal jeanienefrost flirting grave … half vampire catherine crawfield going undead vengeance hoping one deadbeat father – responsible ruining mother ’ life captured bone bounty hunter forced unlikely partnership exchange help finding cat agrees train sexy
The Elite, youngadult romance kieracass selection began thirty five girl group narrowed six elite competition win prince maxon heart fiercer ever — america still struggling decide truly lie could make life fairy tale first love aspen desperate time rest eli
Swann's Way, classics fiction marcelproust lydiadavis (translator) marcel proust search lost time one entertaining reading experience language arguably finest novel twentieth century since original prewar translation completely new version english penguin brings masterpiece audience throughout world beginning lydia davis internat
Cannery Row, classics fiction johnsteinbeck cannery row book without much plot rather attempt capture feeling people place district monterey california populated mix luck choose reason live hill respectable area town flow main frequently interrupted b
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass, fantasy youngadult cassandraclare city bone fifteen year old clary fray introduced world shadowhunters secret cadre warrior dedicated driving demon vengeance mother disappears almost killed grotesque monster sent evil powerful shadowhunter valentine could mere human
The Raven Boys," fantasy youngadult maggiestiefvater “ two reason non seer would see spirit st mark ’ eve ,” neeve said either true love killed .” freezing churchyard even dead arrive every year blue sargent stand next clairvoyant mother soon walk past never see — boy emerges fro"
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time, nonfiction autobiography gregmortenson davidoliverrelin astonishing uplifting story real life indiana jones humanitarian campaign use education combat terrorism taliban ’ backyardanyone despair individual power change life read greg mortenson homeless mountaineer following 1993 climb pakistan treacherous k2 inspired chance encounter wi
Just Listen, youngadult romance sarahdessen last year annabel girl everything — least part played television commercial kopf department store nothing best friend mean exciting sophie dropped peace home since older sister became anorexic one sit lunch meet owen armstrong ta
Perfect Chemistry, romance youngadult simoneelkeles fresh urban twist classic tale star crossed lover brittany elli walk chemistry class first day senior year clue carefully created perfect life unravel eye forced lab partner alex fuentes gang member side town threaten everything
Ignite Me, sciencefiction dystopia taherehmafi omega point destroyed juliette ’ know rebel friend even adam alive keep trying take reestablishment must rely warner handsome commander sector 45 one person never thought could trust saved life promise help maste
Much Ado About Nothing, classics plays williamshakespeare barbaraa.mowat (editor) paulwerstine (editor) robertjackson (editor) gailkernpaster (contributor) much ado nothing shakespeare includes two quite different story romantic love hero claudio fall almost first sight outsider john strike happiness beatrice benedick kept apart pride mutual antagonism others decide play cupid
The Truth About Forever, youngadult romance sarahdessen macy look forward boyfriend jason away brain camp day spent boring job library evening filled vocabulary drill sat spare time passed mother two sharing silent grief traumatic loss father sometimes unexpected thing happen — thi
The Goldfinch, fiction contemporary donnatartt winner pulitzer prize fiction 2014aged thirteen theo decker son devoted mother reckless largely absent father survives accident otherwise tear life apart alone rudderless new york taken family wealthy friend tormented unbearable longing year cling thing
The Polar Express, childrens picturebooks chrisvanallsburg liamneeson (narrator) polar express treasured holiday tradition lavish gift set includes cd audio recording read liam neeson keepsake aboard ornament note author chris van allsburg awarded prestigious caldecott medal 1986 sold 7 million copy become classic movie translated stage producti
Ishmael," fiction philosophy danielquinn adventure mind spiritthe narrator extraordinary tale man search truth answer ad local newspaper teacher looking serious pupil find alone abandoned office full grown gorilla nibbling delicately slender branch ?"" asks incredulously ,"""
Are You My Mother?," childrens childrens p.d.eastman mother tell simple story child started read younger brother sister also want follow baby bird quest asks everyone everything meet "". back 1957 theodor geisel responded article life magazine lamented use boring reading primer school using"
Nine Stories," shortstories fiction j.d.salinger nine story 1953 collection short american fiction writer j salinger published april includes two famous perfect day bananafish esmé – love squalor "". u title book many country"
Far From the Madding Crowd, classics fiction thomashardy rosemariemorgan (editor/introduction) shannonrussell (editor/introduction) independent spirited bathsheba everdene come weatherbury take position farmer largest estate area bold presence draw three different suitor gentleman boldwood soldier seducer sergeant troy devoted shepherd gabriel oak contrasting way unsettles decision complicates life tr
Lady Chatterley's Lover, classics fiction d.h.lawrence lawrence frank portrayal extramarital affair explicit sexual exploration central character caused controversial book considered masterpiece banned pornography 1960
A Christmas Carol, classics fiction charlesdickens joel.wheeler (contributor) way every idiot go around merry christmas lip would boiled pudding buried stake holly heart bah humbug introduction afterword joe wheelerto bitter miserly ebenezer scrooge another day change ghost long dead business partn
Acheron, romance paranormalromance sherrilynkenyon eleven thousand year ago god born cursed body human acheron endured lifetime hatred death unleashed unspeakable horror almost destroyed earth brought back became sole defender mankind never simple … century fought survival hidden past want
The Darkest Minds, youngadult sciencefiction alexandrabracken ruby woke tenth birthday something changed alarming enough make parent lock garage call police get sent thurmond brutal government “ rehabilitation camp .” might survived mysterious disease ’ killed america child others emerged w
Cutting for Stone, fiction historical abrahamverghese sweeping emotionally riveting first novel enthralling family saga africa america doctor patient exile home marion shiva stone twin brother born secret union beautiful indian nun brash british surgeon mission hospital addis ababa orphaned mother ’ death childbirth father disappearance
Angelfall, fantasy youngadult susanee six week since angel apocalypse descended demolish modern world street gang rule day fear superstition night warrior fly away helpless little girl seventeen year old sister penryn anything get back including making deal enemy angel raffe lie brok
The Horse and His Boy, fantasy fiction c.s.lewis horse boy stirring dramatic fantasy story find young named shasta run homeland talking bree pair discover deadly plot calormen people conquer land narnia race warn inhabitant impending danger rescue certain death
I Am Number Four, youngadult fantasy pittacuslore nine u came look like talk live among thing dream power stronger faster anything ever seen superheroes worship movie comic book -- real plan grow train become strong one
Silence, youngadult fantasy beccafitzpatrick nora grey remember past five month life initial shock waking cemetery told missing week one knowing tried get back track go school hang best friend vee dodge mom creepy new boyfriend voice
Little House on the Prairie, classics historical lauraingallswilder garthwilliams (illustrator) meet laura ingalls little girl would grow write house book pa decides sell log family set indian country travel wisconsin kansa finally build prairie sometimes farm life difficult even dangerous kept busy
Sabriel, fantasy youngadult garthnix sent boarding school ancelstierre young child sabriel little experience random power free magic dead refuse stay old kingdom final semester father abhorsen go missing know must enter find first installment seri
You Are Special, childrens picturebooks maxlucado max interested helping child understand value world perspective god wemmicksville land created eli figure story creates wemmick uniquely look personality video new adventure citizen punchinello cent
Hyperion, sciencefiction fiction dansimmons garyruddell (illustrator) world called hyperion beyond law hegemony man wait creature shrike worship fear vowed destroy valley time tomb huge brooding structure move backward eve armageddon w
Into Thin Air: A Personal Account of the Mount Everest Disaster," nonfiction adventure jonkrakauer bank cloud assembling distant horizon journalist mountaineer jon krakauer standing summit mt everest saw nothing suggested murderous storm bearing ."" wrong claimed five life left countless -- including guilt ridden disarray would also provide impetus"
Dead to the World, fantasy paranormal charlaineharris sookie stackhouse cocktail waitress bon temp louisiana close friend everyone appreciates ’ gift read mind exactly every man idea date bait – unless undead vampire like tough kind guy looking maybe com
The Unbecoming of Mara Dyer, youngadult fantasy michellehodkin mara dyer belief life get stranger waking hospital memory got must accident remember killed friend left strangely unharmed believe everything fall love wrong
The Bronze Horseman, historical historicalfiction paullinasimons librarian note alternate cover edition found summer 1941 metanov family living hard life leningrad german army advance future look bleak tatiana love arrives guise alexander harbour deadly extraordinary secret
I Capture the Castle, classics fiction dodiesmith six turbulent month 1934 17 year old cassandra mortmain keep journal filling three notebook sharply funny yet poignant entry home ruined suffolk castle eccentric penniless family time last diary shuts great change household least deeply h
The Red Pyramid, fantasy youngadult rickriordan since mother death six year ago carter kane living suitcase traveling globe father brilliant egyptologist dr julius homeschooled younger sister sadie grandparent london want — school friend chance normal life carte
Little House in the Big Woods, classics historical lauraingallswilder garthwilliams (illustrator) based real life adventure laura ingalls wilder little house big wood first book award winning series captivated generation reader edition feature classic black white artwork garth williams take place 1871 introduces u four year old life
Being and Time, philosophy nonfiction martinheidegger one important philosophical work time work tremendous influence philosophy literature psychology literally changed intellectual map modern world
Drums of Autumn, historical historicalfiction dianagabaldon breathtaking novel rich history adventure 1 new york time bestselling author diana gabaldon continues story claire randall jamie fraser started classic outlander continued dragonfly amber voyager spanning continent century created work sheer brilliance kne
Invisible Monsters, fiction contemporary chuckpalahniuk catwalk model everything boyfriend career loyal best friend sudden motor accident leaf disfigured incapable speech go beautiful centre attention invisible monster hideous one acknowledge exists enter brandy alexander queen supreme operation away
The Goose Girl, fantasy youngadult shannonhale born eye closed word tongue could taste name anidori kiladra talianna isilee crown princess kildenree spent first year life listening aunt ’ story learning language bird especially swan older watched colt heard fir
The Last Lecture, nonfiction autobiography randypausch jeffreyzaslow (contributor) lot professor give talk titled last lecture '. asked consider demise ruminate matter wisdom would impart world knew chance vanish tomorrow want legacy randy pausch computer science professor carnegie mellon
Slammed, romance newadult colleenhoover alternate cover edition asin b008trudas following unexpected death father 18 year old layken forced rock mother younger brother outwardly appears resilient tenacious inwardly losing hope enter cooper attractive 21 new neighbor intriguing passion slam poetry
A Monster Calls, fantasy youngadult patrickness bestselling novel love loss hope twice carnegie medal winning patrick ness conor dream every night ever since mother first fell ill started treatment quite seem working tonight different wake visitor window ancient elemental force natur
P.S. I Love You, romance womensfiction ceceliaahern novel holding letting go learning love paperback endearing captured reader heart introduced fresh new voice woman fiction cecelia ahern holly live without husband gerry day kind young couple could finish sentence succumbs
Julius Caesar, classics plays williamshakespeare romagill oxford school shakespeare become preferred introduction literary legacy greatest playwright english language exclusive collection bard best work designed specifically reader new rich play ispresented complete unabridged large print every book well illustrated
No Country for Old Men, fiction thriller cormacmccarthy blistering new novel cormac mccarthy return texas mexico border setting famed trilogy time rustler given way drug runner small town become free fire zone one day llewellyn moss find pickup truck surrounded bodyguard dead men load heroin two million dollar cash still
World Without End, historical historicalfiction kenfollett librarian note alternate cover edition found hereworld without end take place town kingsbridge two century townspeople finished building exquisite gothic cathedral heart pillar earth priory center web love hate greed pride ambition reve
The Glass Menagerie, plays classics tennesseewilliams robertbray (introduction) anastasiahillie (narrator) georgemackay (narrator) patsyferran (narrator) sopedirisu (narrator) play modern theater captured imagination heart american public tennessee williams glass menagerie first popular success launched brilliant somewhat controversial career pre eminent lyric playwright since premiere chicago 1944 legendary laurette taylor role amanda
The Hours, fiction historical michaelcunningham 1920s london virginia woolf fighting rebellious spirit attempt make start new novel young wife mother broiling suburb 1940s los angeles yearns escape read precious copy mr dalloway clarissa vaughan step smart greenwich village apartment 1990s york buy flower party
Speaker for the Dead, sciencefiction fiction orsonscottcard available mass market revised definitive edition hugo nebula award winning classic second book saga set 3 000 year terrible war ender wiggin reviled history xenocide -- destroyer alien bugger tell true story seek stop repeating ...
The Last Unicorn, fantasy classics peters.beagle magical beautiful beyond belief — completely alone ... unicorn lived since memory forest death could touch nothing maiden caught glimpse glory blessed enchantment would never forget outside wondrous realm dark whisper rumour carried message ignore unicorn gone wor
The Westing Game, mystery youngadult ellenraskin bizarre chain event begin sixteen unlikely people gather reading samuel w westing though one know eccentric game loving millionaire chosen virtual stranger — possible murderer inherit vast fortune thing sure sam may dead ... stop playing last
The Merchant of Venice, classics plays williamshakespeare robertjackson (editor) barbaraa.mowat (editor) paulwerstine (editor) lively comedy love money sixteenth century venice bassanio want impress wealthy heiress portia lack necessary fund turn merchant friend antonio forced borrow shylock jewish moneylender business falter repayment becomes impossible -- term loan agreement able
Sense and Sensibility, classics fiction janeausten tonytanner (introduction) julietstevenson (translation) samngo sarasingh (illustrations) rosalindballaster (editor) rosballaster (introduction/editor) alternate cover edition isbn 9780141439662 know world convinced shall never see man really love require much marianne dashwood wear heart sleeve fall dashing unsuitable john willoughby ignores sister elinor warning impulsive behaviour leaf
Wicked Lovely, fantasy youngadult melissamarr rule 3 stare invisible faery aislinn always seen powerful dangerous walk hidden mortal world fear cruelty especially learn sight wish blind presence teen 2 speak stalking one keenan equal
We Need to Talk About Kevin, fiction contemporary lionelshriver gripping international bestseller motherhood gone awry eva never really wanted mother certainly unlovable boy murdered seven fellow high school student cafeteria worker much adored teacher tried befriend two day sixteenth birthday year later time co
All the King's Men, fiction classics robertpennwarren classic political novel warren ’ tale power corruption depression era south sustained meditation unforeseen consequence every human act vexing connectedness people possibility — much one goodness sinful world willie stark lightly disguised version huey long time lou
Interpreter of Maladies," shortstories fiction jhumpalahiri librarian note alternate cover edition found herenavigating indian tradition inherited baffling new world character jhumpa lahiri elegant touching story seek love beyond barrier culture generation temporary matter ,"" published yorker young american couple face heartbreak"
A Dog's Purpose, fiction animals w.brucecameron remarkable story one endearing dog search purpose course several life another charming touch universal quest answer life basic question surprised find reborn rambunctious golden haired puppy tragically short stray mutt bailey
Cyrano de Bergerac, classics plays edmondrostand eteellawson (introduction) lowellbair (translation) edmond rostand immortal play chivalry wit bravery love forever captured timeless spirit romance set louis xiii reign moving exciting drama one finest swordsman france gallant soldier brilliant tragic poet lover face clown extraordinary lyric power gave birth un
Peace Like a River, fiction historical leifenger great encounter novel voluminous reading begs read aloud leif enger debut peace like river one work richly evocative narrated asthmatic 11 year old named reuben land story unusual family journey across frozen badlands dakota search fugitive older bro
The Queen of the Damned, horror fantasy annerice librarian note alternate cover edition found herein 1976 uniquely seductive world vampire unveiled classic interview vampire 1985 wild voluptous voice spoke u telling story lestat queen damned anne rice continues extraordinary chronicle feat mesmeric
The Art of War, nonfiction classics suntzu thomascleary (translator) pulatotkan (translator) twenty five hundred year ago sun tzu wrote classic book military strategy based chinese warfare thought since time level used teaching civilization adapted teaching use politics business everyday life art war gain advantage
Before I Fall," youngadult contemporary laurenoliver popular high school senior samantha kingston february 12 —"" cupid day ""— one big party valentine rose privilege come top social pyramid … dy terrible accident night however still wake next morning fact sam life last life seven time sh"
Night, nonfiction classics eliewiesel marionwiesel (translator) françoismauriac (foreword) born town sighet transylvania elie wiesel teenager family taken home 1944 auschwitz concentration camp buchenwald night terrifying record memory death innocence despair deeply observant jew confronting absolute evil
I'll Give You the Sun, youngadult contemporary jandynelson first jude twin brother noah inseparable draw constantly falling love charismatic boy next door daredevil wear red lipstick cliff dive talking year later barely speaking something happened change twin different yet equally devastating way ...
The Silver Chair, fantasy fiction c.s.lewis paulinebaynes (illustrator) jill eustace must rescue prince evil witch narnia ... owl wise giant like snack human put spell adventure begin escape bully school strange door wall unlocked lead open moor onc
Words of Radiance," fantasy fiction brandonsanderson word radiance book two stormlight archive continues immersive fantasy epic way king began expected enemy die miserable death military slave kaladin survived given command royal bodyguard controversial first low status darkeyes ."" must protect king dalinar every common peril"
The Wasp Factory, fiction horror iainbanks frank ordinary sixteen year old life father outside remote scottish village life say least unconventional mother abandoned year ago elder brother eric confined psychiatric hospital measure eccentricity imperial scale turned strange act violence vent fru
Scarlet, youngadult fantasy marissameyer cinder return second thrilling installment new york time bestselling lunar chronicle ’ trying break prison — even though succeeds commonwealth wanted fugitive halfway around world scarlet benoit grandmother missing turn many thing know grav
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose", contemporary fiction diamantelavendar written honor diamante child heaven finding hope darkness grief recipient five award date poetry religion spirituality inspiration gift book earthly plane offer much u learn happiness wisdom loss heartbreak enlightenment pandora box emotion situation opportunity failure wrapped
The Scorch Trials, youngadult sciencefiction jamesdashner solving maze supposed end thomas sure escape would mean freedom gladers wicked ’ done yet phase two begun scorch rule help either make die week cross — burned section world wi
Inheritance, fiction youngadult christopherpaolini began eragon ... end inheritance long ago — shadeslayer dragon rider nothing poor farm boy saphira blue stone forest fate entire civilization rest shoulder month training battle brought victory hope also heartbreaki
Poison Study, fantasy youngadult mariav.snyder choose quick death … slow poison ... executed murder yelena offered extraordinary reprieve eat best meal room palace — risk assassination anyone trying kill commander ixia chooses become food taster chief security leaving nothing chance deliberately feed butterfly
The Knife of Never Letting Go, youngadult sciencefiction patrickness todd hewitt boy town men ever since settler infected noise germ hear everything think think month away becoming man midst cacophony know hiding something -- awful forced flee
One Day in the Life of Ivan Denisovich, fiction classics aleksandrsolzhenitsyn h.t.willetts (translation) english translation authorized aleksandr solzhenitsyn first published soviet journal novy mir 1962 one day life ivan denisovich stand classic contemporary literature story labor camp inmate shukhov graphically describes struggle maintain dignity face communist oppression unforget
The Secret, selfhelp nonfiction rhondabyrne alternate cover edition isbn 9781582701707 worldwide bestselling phenomenon helped million tap power law governs life create — intentionally effortlessly joyful life 2006 groundbreaking feature length film revealed great mystery universe secret later year rhonda byrne followed book
Cress, youngadult fantasy marissameyer third book lunar chronicle cinder captain thorne fugitive run scarlet wolf tow together plotting overthrow queen levana army best hope lie cress girl imprisoned satellite since childhood ever netscreens company screen time made excellent h
The Nightingale, historical historicalfiction kristinhannah love find want war france 1939in quiet village carriveau vianne mauriac say good bye husband antoine head front ’ believe nazi invade … drove marching soldier caravan truck tank plane fill sky drop b
The Memory Keeper's Daughter, fiction contemporary kimedwards winter night 1964 dr david henry forced blizzard deliver twin son born first perfectly healthy yet daughter see immediately syndrome rationalizing need protect norah wife make split second decision alter life forever asks nurse take
Mythology, fantasy mythology edithhamilton steelesavage (illustrator) world renowned classic enthralled delighted million reader timeless tale god hero edith hamilton mythology succeeds like book bringing life modern reader greek roman norse myth keystone western culture -- story inspired human creativity antiqu
If on a Winter's Night a Traveler," fiction classics italocalvino williamweaver (translator) winter night traveler marvel ingenuity experimental text look longingly back great age narration —"" time longer seemed stopped yet seem exploded ."" italo calvino novel one sense comedy two protagonist reader ultimately end married almost finished"
Foucault's Pendulum, fiction mystery umbertoeco williamweaver (translator) foucault pendulum divided ten segment represented sefiroth novel full esoteric reference kabbalah title book refers actual designed french physicist léon demonstrate rotation earth symbolic significance within bored work reading
A Little Life, fiction contemporary hanyayanagihara stunning “ portrait enduring grace friendship ” npr family born make masterful depiction love twenty first century national book award finalist • man booker prize winner kirkus prizewhen four classmate small massachusetts college move new york wa
A Brief History of Time, science nonfiction stephenhawking ten year since publication 1988 stephen hawking classic work become landmark volume scientific writing nine million copy forty language sold worldwide edition cutting edge known origin nature universe intervening seen extraordinary advance te
1Q84, fiction fantasy harukimurakami jayrubin (translator) philipgabriel (translator) year 1984 city tokyo young woman named aomame follows taxi driver ’ enigmatic suggestion begin notice puzzling discrepancy world around entered realizes parallel existence call 1q84 —“ q ‘ question mark .’ bear .” meanwhile aspiring writer tengo take suspect
Oedipus Rex," classics plays sophocles alphonsedain (editor) j.e.thomas (translator) paulmazon (translator) ""... man win happiness shape ruin collapse sophocles oedipus rex never surpassed raw terrible power hero struggle answer eternal question ?"" play story king acting entirely ignorance kill father marries mother unfolds shattering pow"
Darkfever, fantasy fantasy karenmariemoning name mackayla mac short sidhe seer one see fae fact accepted recently reluctantly philosophy pretty simple day nobody trying kill good book many day lately since wall man came alive
Where She Went, youngadult romance gayleforman three year since devastating accident ... mia walked adam life forever living opposite coast juilliard rising star la tabloid fodder thanks new rock status celebrity girlfriend get stuck york chance brings couple together one last night
Seabiscuit: An American Legend, nonfiction history laurahillenbrand alternate cover edition hereseabiscuit one electrifying popular attraction sport history single biggest newsmaker world 1938 receiving coverage fdr hitler mussolini success surprise racing establishment written crooked legged racehorse sad tail three men
The Bourne Identity, fiction thriller robertludlum alternate cover isbn found herewho jason bourne assassin terrorist thief got four million dollar swiss bank account someone tried murder ?... know answer question suffering amnesia even manner man
Prince Caspian, fantasy fiction c.s.lewis four pevensies help caspian battle miraz ascend rightful thronenarnia ... land lamp post castle cair paravel animal talk magical thing happen adventure begin peter susan edmund lucy returning boarding school summoned dreary train station magic horn
Shadowfever, fantasy urbanfantasy karenmariemoning “ evil completely different creature mac bad belief ’ good .” — mackayla lane child sister alina given adoption banished ireland forever twenty year later dead returned country expelled hunt murderer discovering descends f
A Wizard of Earthsea, fantasy fiction ursulak.leguin ged greatest sorcerer earthsea called sparrowhawk reckless youth hungry power knowledge tampered long held secret loosed terrible shadow upon world tale testing mastered mighty word tamed ancient dragon crossed death threshold restore balance
Inferno, fiction thriller danbrown harvard professor symbology robert langdon awakens italian hospital disoriented recollection past thirty six hour including origin macabre object hidden belonging relentless female assassin trailing florence resourceful doctor sienna brook forced flee embarking harrowing jour
Native Son, fiction classics richardwright right start bigger thomas headed jail could assault petty larceny chance murder rape native son tell story young black man caught downward spiral kill white woman brief moment panic set chicago 1930s wright powerful novel unsparing reflection
The Killer Angels, historical historicalfiction michaelshaara four bloody courageous day nation history two army fought dream one dreamed freedom way life far rifle bullet carried battle memory promise love men fell pennsylvania field shattered future forgotten innocence cr
The History of Love, fiction historical nicolekrauss alternative cover edition isbn found herefourteen year old alma singer trying find cure mother loneliness believing might discover book lovingly translating set search author across new york man called leo gursky survive little bit longer spends day drea
A People's History of the United States, history nonfiction howardzinn library journal call howard zinn ’ iconic people history united state “ brilliant moving american point view … whose plight largely omitted history .” packed vivid detail telling quotation award winning classic continues revolutionize way taught
Possession, fiction historical a.s.byatt possession exhilarating novel wit romance intellectual mystery triumphant love story tale pair young scholar researching life two victorian poet uncover letter journal poem track movement london yorkshire — spiritualist séances fairy haunted far west brittany
Gone, youngadult sciencefiction michaelgrant blink eye everyone disappears gone except young teen one single adult suddenly phone internet television way get help figure happened hunger threatens bully rule sinister creature lurks animal mutating changing developing n
The Night Before Christmas," holiday christmas clementc.moore janbrett (illustrator) poem first appeared newspaper troy new york usa december 23 1823 visit st nicholas "". one claimed authorship 13 year later clement clarke moore professor poet said wrote piece child unbeknownst housekeeper sent published however family henry living"
Emma, classics fiction janeausten davidm.shapard (editor) annaluisazazo fionastafford (introduction/notes) alternative cover isbn found emma woodhouse one austen captivating vivid character beautiful spoilt vain irrepressibly witty organizes life inhabitant sleepy little village play matchmaker devastating effect
House of Sand and Fog," fiction contemporary andredubusiii “ page turner beating heart ” boston globe ), recovering alcoholic addict luck struggle hold home california becomes contested territory recent immigrant middle east — former colonel iranian air force determined restore family ’ dignity buying house woman"
The Left Hand of Darkness, sciencefiction fiction ursulak.leguin groundbreaking work science fiction left hand darkness tell story lone human emissary winter alien world whose inhabitant choose change gender goal facilitate inclusion growing intergalactic civilization must bridge gulf view completely dissimila
I Am Legend and Other Stories, horror fiction richardmatheson robert neville last living man earth ... alone every woman child become vampire hungry blood day hunter stalking sleeping undead abandoned ruin civilization night barricade home prays dawn long one survive
Pretties, youngadult sciencefiction scottwesterfeld gorgeous popular perfect perfectly wrong tally finally become pretty look beyond clothes awesome boyfriend totally hot completely everything ever wanted beneath fun -- nonstop party high tech luxury total freedom nagging sense something im
Assassin's Apprentice, fantasy fiction robinhobb faraway land member royal family named virtue embody one young boy become walking enigma born wrong side sheet fitz son chivalry farseer bastard cast world friendless lonely magical link animal old art known wit give solace companionship
Alanna: The First Adventure, fantasy youngadult tamorapierce alan trebond younger twin knight young alanna begin journey knighthood though girl always craved adventure daring allowed boy brother thom yearns learn art magic one day decide switch place head convent pret
Watchers, horror fiction deankoontz top secret government laboratory come two genetically altered life form one magnificent dog astonishing intelligence hybrid monster brutally violent nature loose … bestselling author dean koontz present terrifying dramatic moving novel explosive story man woman caught relentless sto
A Court of Wings and Ruin, fantasy romance sarahj.maas feyre bring vengeance left night court high lord playing deadly game deceit spring tamlin making deal invading king threatening prythian knee determined uncover plan must weave web lie one slip may spell doom h
The Yellow Wallpaper and Other Stories," classics shortstories charlotteperkinsgilman best known 1892 title story collection harrowing tale woman descent madness charlotte perkins gilman wrote 200 short story seven finest reprinted written feminist perspective often focusing inferior status accorded woman society tale include turned ,"" ironic startl"
Lover Unbound, romance fantasy j.r.ward ruthless brilliant brother vishous posse destructive curse frightening ability see future member brotherhood interest love emotion battle lessening society mortal injury put care human surgeon dr jane whitcomb compels reveal inner pain taste true pleasu
The Blind Assassin, fiction historical margaretatwood margaret atwood take art storytelling new height dazzling novel unfolds layer astonishing concludes brilliant wonderfully satisfying twist told style magnificently capture colloquialism clichés 1930s 1940s blind assassin richly layered uniquely rewarding experience open
John Adams," history biography davidmccullough enthralling often surprising story john adam one important fascinating american ever lived powerful epic biography david mccullough unfolds adventurous life journey brilliant fiercely independent irascible always honest yankee patriot -- colossus independence ,"" thomas jefferson called"
The Girl on the Train," fiction mystery paulahawkins rachel catch commuter train every morning know wait signal time overlooking row back garden ’ even started feel like people live one house “ jess jason ,” call life — see perfect could happy something shocking"
Oryx and Crake, fiction sciencefiction margaretatwood oryx crake unforgettable love story compelling vision future snowman known jimmy mankind overwhelmed plague struggling survive world may last human mourning loss best friend beautiful elusive loved search answer embarks
The Lies of Locke Lamora, fantasy fiction scottlynch orphan ’ life harsh — often short mysterious island city camorr young locke lamora dodge death slavery becoming thief tutelage gifted con artist leader band light fingered brother known gentleman bastard soon infamous fooling even underworld feared ruler shadow lurks som
Veronika Decides to Die, fiction contemporary paulocoelho margaretjullcosta (translator) latest international bestseller celebrated author alchemist address fundamental question asked million today go living twenty four year old veronika seems everything could wish youth beauty plenty attractive boyfriend fulfilling job loving family yet something lacki
The Fiery Cross, historical historicalfiction dianagabaldon janosfarkas (translator) year 1771 war coming jamie fraser ’ wife tell little wish must believe gift dreadful prophecy — time traveler certain knowledge claire unique view future brought danger deliverance past oncoming revolution flickering torch may light way throu
Night Watch, fantasy fiction terrypratchett put trust revolution always come round called people die nothing change policeman thing worse serial killer loose city except perhaps target copper brink bloody revolution found voice last
The Sisterhood of the Traveling Pants, youngadult fiction annbrashares carmen got jean thrift shop ’ look great worn dirty speckled bleach night friend part summer decides toss tibby say love lena bridget also think fabulous try whoever fit
Champion, sciencefiction dystopia marielu legend prodigy champion june day sacrificed much people republic — country brink new existence back good grace working within government ’ elite circle princeps elect assigned high level military position n
A Breath of Snow and Ashes, historical historicalfiction dianagabaldon breath snow ash continues extraordinary story 18th century scotsman jamie fraser 20th wife claire year 1772 eve american revolution long fuse rebellion already lit men lie dead street boston backwoods north carolina isolated cabin burn forest chaos brewing
The Magus, fiction classics johnfowles daring literary thriller rich eroticism suspense one john fowles best loved bestselling novel contributed significantly international reputation writer first degree center magus nicholas urfe young englishman accepts teaching position remote greek island befriends local mill
To All the Boys I've Loved Before, youngadult romance jennyhan boy ’ loved story lara jean never openly admitted crush instead wrote boy letter felt sealed hid box bed one day discovers somehow secret letter mailed causing past confront fir
